properties.type,properties.timing,properties.speciesId,properties.date,properties.createdAt,geometry.coordinates
grass,day,2,2016-07-07T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.48970660236617,38.58063129322471]"
grass,day,3,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.48556265730659,38.58197601462723]"
normal,night,16,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.48567542418297,38.580151203063565]"
normal,day,16,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.4842907597311,38.584079135803194]"
fairy,day,35,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.48825400662491,38.58140394546558]"
electric,night,25,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.48924137465687,38.582881331197]"
grass,night,3,2016-07-08T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.49001383026614,38.58218803656814]"
rock,day,142,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.48878746587341,38.57504818625304]"
water,day,8,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.49417922620097,38.58086611363785]"
water,day,99,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.49180287026562,38.57653890429097]"
fire,day,6,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.49015234557993,38.57546370874718]"
normal,day,84,2016-07-11T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.40110133731969,37.78959112737137]"
normal,day,19,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.39999683304374,37.79028171086273]"
normal,day,16,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.40186064788824,37.788651803403354]"
psychic,night,63,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.47569663222694,37.72507542085678]"
rock,night,142,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.42439025460862,37.775847833854726]"
poison,night,24,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.43956329542155,37.743869083458335]"
fire,night,59,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.39814432219148,37.7099134056112]"
grass,night,69,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.41992698724547,37.71906699820937]"
water,night,9,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.40568194722013,37.801965812829195]"
grass,night,1,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.39319833472896,37.79542588782476]"
bug,night,10,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.49645599729965,37.72355186726148]"
